,Model,Acc Train,Acc Val
0,Gradient Boosting,0.9573964497041421,0.9054945054945055
1,Adaptive Boosting,0.9479289940828403,0.8923076923076924
2,Random Forest,1.0,0.8769230769230769
3,naivebayes,0.8437869822485207,0.8351648351648352
4,tree,1.0,0.832967032967033
5,svc,0.9041420118343195,0.8131868131868132
6,voting,0.8899408284023669,0.810989010989011
7,logistic,0.7526627218934911,0.7252747252747253
